cycle_timestamp,claim,source,source_category,indicator_category,market,time,confidence
2026-03-09T20:13:29Z,Test claim about military deployment,Reuters,wire_service,military_pressure,regime_fall,2026-03-09T10:00:00Z,high
2026-03-09T20:13:29Z,Test claim about sanctions,NYT,us_prestige,economic_collapse,regime_fall,2026-03-09T11:00:00Z,medium
2026-03-09T23:32:19Z,"Joint US-Israeli airstrikes have hit hundreds of targets across 26 Iranian provinces, including Tehran, IRGC bases, and leadership facilities such as Khamenei's compound.",Multiple military intelligence sources,osint,military_pressure,regime_fall,2026-02-28T00:00:00Z,high
2026-03-09T23:32:19Z,The initial US-Israeli air campaign involved a 900-strike wave that killed Supreme Leader Khamenei and senior Iranian figures.,Military operations reporting,osint,military_pressure,regime_fall,2026-02-28T00:00:00Z,medium
2026-03-09T23:32:19Z,Iran's airspace control has been lost from western Iran to central Tehran due to US-Israeli strikes degrading over 200 air defense systems.,Military intelligence sources,osint,military_pressure,regime_fall,2026-03-08T00:00:00Z,medium
2026-03-09T23:32:19Z,Six US troops were killed over the weekend when Iranian retaliatory strikes hit a fortified operations center.,US military sources,government_official,military_pressure,regime_fall,2026-03-08T00:00:00Z,high
2026-03-09T23:32:19Z,"The USS Gerald R. Ford carrier strike group and four destroyers (USS Bainbridge, USS Mahan, USS McFaul, USS Mitscher) have been deployed to the Middle East.",US military deployment reports,government_official,military_pressure,regime_fall,2026-03-08T00:00:00Z,high
2026-03-09T23:32:19Z,"The USS Nimitz carrier departed Bremerton with video confirmation on March 8, 2026.",US military sources,government_official,military_pressure,regime_fall,2026-03-08T00:00:00Z,high
2026-03-09T23:32:19Z,"Virginia National Guard units including the 229th Military Police Company (150 members) deployed to Camp Arifjan, Kuwait.",US military deployment records,government_official,military_pressure,regime_fall,2026-03-08T00:00:00Z,high
2026-03-09T23:32:19Z,US Central Command issued a safety warning to Iranian civilians linked to ongoing Operation Epic Fury.,US Central Command,government_official,military_pressure,regime_fall,2026-03-08T00:00:00Z,high
2026-03-09T23:32:19Z,"Iranian drone strikes were reported on US positions in Kuwait and Erbil on March 5, 2026.",Military operations reporting,osint,military_pressure,regime_fall,2026-03-05T00:00:00Z,high
2026-03-09T23:32:19Z,Three US F-15s were mistakenly downed by Kuwaiti defenses with pilots safely recovered.,US military sources,government_official,military_pressure,regime_fall,2026-03-08T00:00:00Z,medium
2026-03-09T23:32:19Z,"IRGC-ordered evacuations occurred in border areas on March 3, 2026.",Military intelligence sources,osint,military_pressure,regime_fall,2026-03-03T00:00:00Z,medium
2026-03-09T23:32:19Z,Jailbreaks occurred at facilities such as Mariwan detention facility during US-Israeli strikes.,Military intelligence sources,osint,internal_stability,regime_fall,2026-03-08T00:00:00Z,medium
2026-03-09T23:32:19Z,The Islamic Resistance in Iraq claimed 67 drone and missile attacks since late January 2026.,Islamic Resistance in Iraq statements,osint,military_pressure,regime_fall,2026-03-08T00:00:00Z,medium
2026-03-09T23:32:19Z,"Limited US-Israeli strikes on Iran-backed PMF sites in Iraq killed over 10 fighters between January 28 and March 3, 2026.",Military intelligence sources,osint,military_pressure,regime_fall,2026-03-03T00:00:00Z,medium
2026-03-09T23:32:19Z,"Iranian Foreign Minister Abbas Araghchi called progress in indirect US-Iran talks mediated by Oman as of February 26, 2026, 'historic' with a deal 'within reach.'",Iranian Foreign Ministry statements,government_official,diplomatic_signals,regime_fall,2026-02-26T00:00:00Z,high
2026-03-09T23:32:19Z,US officials including VP J.D. Vance and Secretary Marco Rubio expressed disappointment and skepticism about US-Iran nuclear negotiations as of late February 2026.,US government officials,government_official,diplomatic_signals,regime_fall,2026-02-26T00:00:00Z,high
